date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,ticker
2009-07-31,776.52000,619.79700,156.72300,192.85500,73.97500,,886.62700,-110.10690,3.00600,-107.10100,-1.79900,-105.30200,,-105.30200,,-105.30200,-60.78490,-110.10690,546.63900,546.63900,-0.19000,-0.19000,NVDA
2009-04-30,664.23100,474.53500,189.69600,301.79700,118.86400,,895.19600,-230.96500,6.14400,-224.82100,-23.48300,-201.33800,,-201.33800,,-201.33800,-180.30700,-230.96500,542.30700,542.30700,-0.37000,-0.37000,NVDA
2009-01-31,481.13990,339.47410,141.66580,211.77900,86.44000,,656.22320,-175.08330,4.70800,-170.37500,-22.71000,-147.66500,,-147.66500,,-147.66500,-127.02830,-175.08320,548.12600,548.12600,-0.26000,-0.24000,NVDA
2008-10-31,897.65500,529.81200,367.84300,212.36000,90.34900,,840.85900,56.79600,4.20700,61.00300,-0.74500,61.74800,,61.74800,,61.74800,106.10000,56.79600,543.80700,564.53600,0.11000,0.11000,NVDA
2008-07-31,892.67600,742.75900,149.91710,212.91000,92.39900,,1048.06800,-155.39200,8.79200,-146.60000,-25.67100,-120.92900,,-120.92900,,-120.92900,-109.08600,-155.39200,555.41700,555.41700,-0.22000,-0.22000,NVDA
2008-04-30,1153.38800,638.54500,514.84300,218.83000,93.03400,,950.40900,202.97890,10.03900,213.01800,36.21300,176.80500,,176.80500,,176.80500,244.33690,202.97890,555.67300,591.98900,0.32000,0.30000,NVDA
2008-01-31,1202.73000,653.13320,549.59660,195.83500,91.26300,,940.23130,262.49850,17.40300,279.90200,22.90900,256.99300,,256.99300,,256.99300,299.43450,262.49870,550.10800,606.73200,0.47000,0.42000,NVDA
2007-10-31,1115.59700,600.04400,515.55300,179.52900,88.18300,,867.75600,247.84110,18.95800,266.79900,31.13800,235.66100,,235.66100,,235.66100,280.87110,247.84110,554.96600,612.98500,0.42000,0.38000,NVDA
2007-07-31,935.25300,511.26100,423.99200,157.95200,81.28000,,750.49300,184.75990,16.09100,200.85100,28.11900,172.73200,,172.73200,,172.73200,216.65190,184.75990,547.30500,603.83000,0.32000,0.29000,NVDA
2007-04-30,844.28000,464.14200,380.13800,158.32100,80.57100,,703.03400,141.24600,12.54300,153.78900,21.53000,132.25900,,132.25900,,132.25900,172.58000,141.24600,541.24700,598.29900,0.24000,0.22000,NVDA
2007-01-31,878.87290,493.16700,385.70590,162.27600,84.91600,,740.35910,138.51380,13.04500,151.55900,-11.94700,163.50600,,163.50600,,163.50600,172.80580,138.51390,528.60600,587.25600,0.31000,0.27330,NVDA
2006-10-31,820.57200,486.63000,333.94200,140.73200,75.59700,,702.95900,117.61300,10.71400,128.32700,21.81600,106.51100,,106.51100,,106.51100,142.64400,117.61300,528.98600,586.73300,0.20000,0.18000,NVDA
2006-07-31,687.51900,395.39100,292.12800,127.25700,69.05500,,591.70300,95.81600,8.70600,104.52200,17.76900,86.75300,,86.75300,,86.75300,120.02400,95.81600,525.36600,578.38350,0.16670,0.14670,NVDA
2006-04-30,681.80700,393.13400,288.67300,123.20200,63.96200,,580.29800,101.50900,8.56300,110.07200,18.71200,91.36000,,91.36000,,92.06400,125.54000,101.50900,521.90550,584.14200,0.17330,0.16000,NVDA
2006-01-31,633.61400,379.10400,254.50990,95.26800,45.92500,,520.29710,113.31690,4.38600,117.70300,19.25100,98.45200,,98.45200,,98.45200,137.10490,113.31700,509.07000,548.55600,0.19000,0.17670,NVDA
2005-10-31,583.41500,355.42000,227.99500,88.82900,55.43600,-14.15800,513.84300,69.57200,6.14600,75.71800,11.27100,64.44700,,64.44700,,64.44700,94.09400,69.57200,510.38100,550.28550,0.12670,0.12000,NVDA
2005-07-31,574.81200,357.43700,217.37500,87.11300,52.66900,,497.21900,77.59300,5.21900,82.81200,8.97900,73.83300,,73.83300,,73.83300,102.36300,77.59300,506.82900,542.51100,0.14670,0.13330,NVDA
2005-04-30,583.84600,373.69300,210.15300,85.91300,48.05800,,507.66400,76.18200,4.37300,80.55500,16.11100,64.44400,,64.44400,,64.44400,101.07900,76.18200,505.94100,541.47600,0.12670,0.12000,NVDA
2005-01-31,566.47580,374.59200,191.88380,97.17000,55.97500,,527.73690,38.73890,2.85400,41.59300,5.32500,36.26800,,36.26800,,36.26800,69.82390,38.73900,498.18600,527.43600,0.07330,0.06670,NVDA
2021-03-31,19673.00000,8819.00000,10854.00000,3623.00000,1328.00000,,15979.00000,3694.00000,212.00000,3906.00000,545.00000,3361.00000,,3361.00000,,3361.00000,6596.00000,3694.00000,4056.00000,4096.00000,0.83000,0.82000,INTC
2020-12-31,19978.00000,8630.00000,11348.00000,3655.00000,1757.00000,,14094.00000,5884.00000,1604.00000,7488.00000,1631.00000,5857.00000,,5857.00000,,5857.00000,8887.00000,5884.00000,4199.00000,4232.00000,1.43000,1.42000,INTC
2020-09-30,18333.00000,8592.00000,9741.00000,3272.00000,1435.00000,,13274.00000,5059.00000,-18.00000,5041.00000,765.00000,4276.00000,,4276.00000,,4276.00000,8182.00000,5059.00000,4188.00000,4211.00000,1.02000,1.02000,INTC
2020-06-30,19728.00000,9221.00000,10507.00000,3354.00000,1447.00000,,14031.00000,5697.00000,238.00000,5935.00000,830.00000,5105.00000,,5105.00000,,5105.00000,8760.00000,5697.00000,4246.00000,4284.00000,1.20000,1.19000,INTC
2020-03-31,19828.00000,7812.00000,12016.00000,3275.00000,1541.00000,,12790.00000,7038.00000,-424.00000,6614.00000,953.00000,5661.00000,,5661.00000,,5661.00000,10088.00000,7038.00000,4266.00000,4312.00000,1.33000,1.31000,INTC
2019-12-31,20209.00000,8331.00000,11878.00000,3384.00000,1592.00000,,13412.00000,6797.00000,1271.00000,8068.00000,1163.00000,6905.00000,,6905.00000,,6905.00000,9765.00000,6797.00000,4417.00000,4473.00000,1.59000,1.57000,INTC
2019-09-30,19190.00000,7895.00000,11295.00000,3208.00000,1536.00000,,12743.00000,6447.00000,272.00000,6719.00000,729.00000,5990.00000,,5990.00000,,5990.00000,9126.00000,6447.00000,4391.00000,4433.00000,1.36000,1.35000,INTC
2019-06-30,16505.00000,6627.00000,9878.00000,3438.00000,1639.00000,,11888.00000,4617.00000,107.00000,4724.00000,545.00000,4179.00000,,4179.00000,,4179.00000,7171.00000,4617.00000,4466.00000,4523.00000,0.94000,0.92000,INTC
2019-03-31,16061.00000,6972.00000,9089.00000,3332.00000,1583.00000,,11887.00000,4174.00000,373.00000,4547.00000,573.00000,3974.00000,,3974.00000,,3974.00000,6799.00000,4174.00000,4492.00000,4564.00000,0.88000,0.87000,INTC
2018-12-31,18657.00000,7430.00000,11227.00000,3433.00000,1720.00000,,12433.00000,6224.00000,-589.00000,5635.00000,440.00000,5195.00000,,5195.00000,,5195.00000,8717.00000,6224.00000,4611.00000,4701.00000,1.14000,1.12000,INTC
2018-09-30,19163.00000,6803.00000,12360.00000,3428.00000,1605.00000,,11814.00000,7349.00000,-207.00000,7142.00000,744.00000,6398.00000,,6398.00000,,6398.00000,9623.00000,7349.00000,4574.00000,4648.00000,1.40000,1.38000,INTC
2018-06-30,16962.00000,6543.00000,10419.00000,3371.00000,1725.00000,,11689.00000,5273.00000,256.00000,5529.00000,523.00000,5006.00000,,5006.00000,,5006.00000,7395.00000,5273.00000,4649.00000,4747.00000,1.08000,1.05000,INTC
2018-03-31,16066.00000,6335.00000,9731.00000,3311.00000,1900.00000,,11596.00000,4470.00000,541.00000,5011.00000,557.00000,4454.00000,,4454.00000,,4454.00000,6666.00000,4470.00000,4674.00000,4790.00000,0.95000,0.93000,INTC
2017-12-31,17053.00000,6275.00000,10778.00000,3253.00000,1842.00000,,11618.00000,5435.00000,600.00000,6035.00000,6722.00000,-687.00000,,-687.00000,,-687.00000,7575.00000,5435.00000,4701.00000,4835.00000,-0.15000,-0.14000,INTC
2017-09-30,16149.00000,6085.00000,10064.00000,3209.00000,1661.00000,,11008.00000,5141.00000,789.00000,5930.00000,1414.00000,4516.00000,,4516.00000,,4516.00000,7196.00000,5141.00000,4688.00000,4821.00000,0.96000,0.94000,INTC
2017-06-30,14763.00000,5667.00000,9096.00000,3262.00000,1850.00000,,10921.00000,3842.00000,730.00000,4572.00000,1764.00000,2808.00000,,2808.00000,,2808.00000,5830.00000,3842.00000,4710.00000,4845.00000,0.60000,0.58000,INTC
2017-03-31,14796.00000,5636.00000,9160.00000,3311.00000,2099.00000,,11164.00000,3632.00000,183.00000,3815.00000,851.00000,2964.00000,,2964.00000,,2964.00000,5578.00000,3632.00000,4723.00000,4881.00000,0.63000,0.61000,INTC
2016-12-31,16374.00000,6227.00000,10147.00000,3225.00000,2138.00000,,11589.00000,4785.00000,-345.00000,4440.00000,878.00000,3562.00000,,3562.00000,,3562.00000,6715.00000,4785.00000,4730.00000,4875.00000,0.76000,0.74000,INTC
2016-09-30,15778.00000,5795.00000,9983.00000,3069.00000,2006.00000,,11316.00000,4462.00000,-144.00000,4318.00000,940.00000,3378.00000,,3378.00000,,3378.00000,6390.00000,4462.00000,4734.00000,4877.00000,0.71000,0.69000,INTC
2016-06-30,13533.00000,5560.00000,7973.00000,3145.00000,2007.00000,,12215.00000,1318.00000,352.00000,1670.00000,340.00000,1330.00000,,1330.00000,,1330.00000,3235.00000,1318.00000,4729.00000,4866.00000,0.28000,0.27000,INTC
2016-03-31,13702.00000,5572.00000,8130.00000,3246.00000,2226.00000,,11134.00000,2568.00000,-60.00000,2508.00000,462.00000,2046.00000,,2046.00000,,2046.00000,4583.00000,2568.00000,4722.00000,4875.00000,0.43000,0.42000,INTC
2015-12-31,14914.00000,5324.00000,9590.00000,3119.00000,2118.00000,,10615.00000,4299.00000,4.00000,4303.00000,690.00000,3613.00000,,3613.00000,,3613.00000,6445.00000,4299.00000,4742.00000,4894.00000,0.77000,0.73000,INTC
2015-09-30,14465.00000,5354.00000,9111.00000,2927.00000,1910.00000,,10273.00000,4192.00000,61.00000,4253.00000,1144.00000,3109.00000,,3109.00000,,3109.00000,6467.00000,4192.00000,4747.00000,4876.00000,0.65000,0.64000,INTC
2015-06-30,13195.00000,4947.00000,8248.00000,3087.00000,1949.00000,,10299.00000,2896.00000,87.00000,2983.00000,277.00000,2706.00000,,2706.00000,,2706.00000,5087.00000,2896.00000,4759.00000,4909.00000,0.57000,0.55000,INTC
2015-03-31,12781.00000,5051.00000,7730.00000,2995.00000,1953.00000,,10166.00000,2615.00000,58.00000,2673.00000,681.00000,1992.00000,,1992.00000,,1992.00000,4714.00000,2615.00000,4741.00000,4914.00000,0.42000,0.41000,INTC
2014-12-31,14721.00000,5100.00000,9621.00000,2990.00000,2049.00000,,10268.00000,4453.00000,206.00000,4659.00000,998.00000,3661.00000,,3661.00000,,3661.00000,6627.00000,4453.00000,4901.00000,5056.00000,0.76000,0.72000,INTC
2014-09-30,14554.00000,5096.00000,9458.00000,2842.00000,1979.00000,,10014.00000,4540.00000,10.00000,4550.00000,1233.00000,3317.00000,,3317.00000,,3317.00000,6738.00000,4540.00000,4880.00000,5045.00000,0.68000,0.66000,INTC
2014-06-30,13831.00000,4914.00000,8917.00000,2859.00000,2061.00000,,9987.00000,3844.00000,78.00000,3922.00000,1126.00000,2796.00000,,2796.00000,,2796.00000,6014.00000,3844.00000,4981.00000,5123.00000,0.56000,0.55000,INTC
2014-03-31,12764.00000,5151.00000,7613.00000,2846.00000,2047.00000,,10254.00000,2510.00000,160.00000,2670.00000,740.00000,1930.00000,,1930.00000,,1930.00000,4517.00000,2510.00000,4974.00000,5117.00000,0.39000,0.38000,INTC
2013-12-31,13834.00000,5263.00000,8571.00000,2826.00000,2006.00000,,10285.00000,3549.00000,2.00000,3551.00000,926.00000,2625.00000,,2625.00000,,2625.00000,5505.00000,3549.00000,4970.00000,5097.00000,0.54000,0.52000,INTC
2013-09-30,13483.00000,5069.00000,8414.00000,2742.00000,1970.00000,,9979.00000,3504.00000,420.00000,3924.00000,974.00000,2950.00000,,2950.00000,,2950.00000,5525.00000,3504.00000,4981.00000,5100.00000,0.59000,0.58000,INTC
2013-06-30,12811.00000,5341.00000,7470.00000,2516.00000,2165.00000,,10092.00000,2719.00000,-26.00000,2693.00000,693.00000,2000.00000,,2000.00000,,2000.00000,4710.00000,2719.00000,4978.00000,5106.00000,0.40000,0.39000,INTC
2013-03-31,12580.00000,5514.00000,7066.00000,2527.00000,1947.00000,,10061.00000,2519.00000,-76.00000,2443.00000,398.00000,2045.00000,,2045.00000,,2045.00000,4583.00000,2519.00000,4948.00000,5080.00000,0.41000,0.40000,INTC
2012-12-31,13477.00000,5660.00000,7817.00000,2629.00000,1958.00000,,10322.00000,3155.00000,49.00000,3204.00000,736.00000,2468.00000,,2468.00000,,2468.00000,5160.00000,3155.00000,4996.00000,5160.00000,0.50000,0.48000,INTC
2012-09-30,13457.00000,4942.00000,8515.00000,2605.00000,1995.00000,,9616.00000,3841.00000,80.00000,3921.00000,949.00000,2972.00000,,2972.00000,,2972.00000,5734.00000,3841.00000,4996.00000,5153.00000,0.59000,0.58000,INTC
2012-06-30,13501.00000,4947.00000,8554.00000,2513.00000,2131.00000,,9669.00000,3832.00000,102.00000,3934.00000,1107.00000,2827.00000,,2827.00000,,2827.00000,5671.00000,3832.00000,5022.00000,5199.00000,0.56000,0.54000,INTC
2012-03-31,12906.00000,4641.00000,8265.00000,2401.00000,1973.00000,,9096.00000,3810.00000,4.00000,3814.00000,1076.00000,2738.00000,,2738.00000,,2738.00000,5595.00000,3810.00000,4999.00000,5192.00000,0.55000,0.53000,INTC
2011-12-31,13887.00000,4935.00000,8952.00000,2308.00000,1973.00000,,9288.00000,4599.00000,-12.00000,4587.00000,1227.00000,3360.00000,,3360.00000,,3360.00000,6188.00000,4599.00000,5256.00000,5411.00000,0.65000,0.64000,INTC
2011-09-30,14233.00000,5215.00000,9018.00000,2140.00000,2017.00000,,9448.00000,4785.00000,107.00000,4892.00000,1424.00000,3468.00000,,3468.00000,,3468.00000,6314.00000,4785.00000,5194.00000,5340.00000,0.67000,0.65000,INTC
2011-06-30,13032.00000,5130.00000,7902.00000,1986.00000,1905.00000,,9097.00000,3935.00000,-4.00000,3931.00000,977.00000,2954.00000,,2954.00000,,2954.00000,5439.00000,3935.00000,5294.00000,5441.00000,0.56000,0.54000,INTC
2011-03-31,12847.00000,4962.00000,7885.00000,1916.00000,1775.00000,,8689.00000,4158.00000,213.00000,4371.00000,1211.00000,3160.00000,,3160.00000,,3160.00000,5600.00000,4158.00000,5452.00000,5606.00000,0.58000,0.56000,INTC
2010-12-31,11457.00000,4051.00000,7406.00000,1671.00000,1705.00000,,7434.00000,4023.00000,140.00000,4163.00000,983.00000,3180.00000,,3180.00000,,3180.00000,5229.00000,4023.00000,5555.00000,5696.00000,0.57000,0.55000,INTC
2010-09-30,11102.00000,3781.00000,7321.00000,1675.00000,1506.00000,,6966.00000,4136.00000,115.00000,4251.00000,1296.00000,2955.00000,,2955.00000,,2955.00000,5278.00000,4136.00000,5575.00000,5694.00000,0.53000,0.52000,INTC
2010-06-30,10765.00000,3530.00000,7235.00000,1666.00000,1584.00000,,6784.00000,3981.00000,204.00000,4185.00000,1298.00000,2887.00000,,2887.00000,,2887.00000,5130.00000,3981.00000,5563.00000,5711.00000,0.52000,0.51000,INTC
2010-03-31,10299.00000,3770.00000,6529.00000,1564.00000,1514.00000,,6851.00000,3448.00000,-2.00000,3446.00000,1004.00000,2442.00000,,2442.00000,,2442.00000,4589.00000,3448.00000,5529.00000,5681.00000,0.44000,0.43000,INTC
2009-12-31,10569.00000,3729.00000,6840.00000,1603.00000,2718.00000,,8072.00000,2497.00000,96.00000,2593.00000,311.00000,2282.00000,,2282.00000,,2282.00000,3758.00000,2497.00000,5557.00000,5645.00000,0.41000,0.40000,INTC
2009-09-30,9389.00000,3985.00000,5404.00000,1430.00000,1320.00000,,6810.00000,2579.00000,-47.00000,2532.00000,676.00000,1856.00000,,1856.00000,,1856.00000,3814.00000,2579.00000,5537.00000,5616.00000,0.34000,0.33000,INTC
2009-06-30,8024.00000,3945.00000,4079.00000,1303.00000,2695.00000,,8036.00000,-12.00000,-38.00000,-50.00000,348.00000,-398.00000,,-398.00000,,-398.00000,1274.00000,-12.00000,5595.00000,5595.00000,-0.07000,-0.07000,INTC
2009-03-31,7145.00000,3907.00000,3238.00000,1317.00000,1198.00000,,6498.00000,647.00000,-18.00000,629.00000,,629.00000,,629.00000,,629.00000,1917.00000,647.00000,5573.00000,5634.00000,0.11000,0.11000,INTC
2008-12-31,8226.00000,3857.00000,4369.00000,1316.00000,1258.00000,,6687.00000,1539.00000,-1170.00000,369.00000,135.00000,234.00000,,234.00000,,234.00000,2758.00000,1539.00000,5663.00000,5748.00000,0.04000,0.04000,INTC
2008-09-30,10217.00000,4198.00000,6019.00000,1471.00000,1415.00000,,7119.00000,3098.00000,-265.00000,2833.00000,819.00000,2014.00000,,2014.00000,,2014.00000,4225.00000,3098.00000,5603.00000,5692.00000,0.36000,0.35000,INTC
2008-06-30,9470.00000,4221.00000,5249.00000,1468.00000,1430.00000,,7215.00000,2255.00000,58.00000,2313.00000,712.00000,1601.00000,,1601.00000,,1601.00000,3360.00000,2255.00000,5699.00000,5800.00000,0.28000,0.28000,INTC
2008-03-31,9673.00000,4466.00000,5207.00000,1467.00000,1349.00000,,7611.00000,2062.00000,109.00000,2171.00000,728.00000,1443.00000,,1443.00000,,1443.00000,3227.00000,2062.00000,5787.00000,5879.00000,0.25000,0.25000,INTC
2007-12-31,10712.00000,4486.00000,6226.00000,1481.00000,1448.00000,,7665.00000,3047.00000,214.00000,3261.00000,990.00000,2271.00000,,2271.00000,,2271.00000,4218.00000,3047.00000,5816.00000,5936.00000,0.39000,0.38000,INTC
2007-09-30,10090.00000,4919.00000,5171.00000,1521.00000,1381.00000,,7946.00000,2144.00000,359.00000,2503.00000,712.00000,1791.00000,,1791.00000,,1791.00000,3307.00000,2144.00000,5837.00000,5967.00000,0.31000,0.30000,INTC
2007-06-30,8680.00000,4605.00000,4075.00000,1353.00000,1290.00000,,7330.00000,1350.00000,179.00000,1529.00000,251.00000,1278.00000,,1278.00000,,1278.00000,2563.00000,1350.00000,5809.00000,5917.00000,0.22000,0.22000,INTC
2007-03-31,8852.00000,4420.00000,4432.00000,1400.00000,1282.00000,,7177.00000,1675.00000,198.00000,1873.00000,237.00000,1636.00000,,1636.00000,,1636.00000,2926.00000,1675.00000,5777.00000,5874.00000,0.28000,0.28000,INTC
2006-12-31,9694.00000,4884.00000,4810.00000,1426.00000,1476.00000,,8206.00000,1488.00000,639.00000,2127.00000,626.00000,1501.00000,,1501.00000,,1501.00000,2715.00000,1488.00000,5797.00000,5880.00000,0.26000,0.26000,INTC
2006-09-30,8739.00000,4445.00000,4294.00000,1389.00000,1425.00000,,7365.00000,1374.00000,440.00000,1814.00000,513.00000,1301.00000,,1301.00000,,1301.00000,2630.00000,1374.00000,5769.00000,5832.00000,0.23000,0.22000,INTC
2006-06-30,8009.00000,3838.00000,4171.00000,1496.00000,1593.00000,,6937.00000,1072.00000,181.00000,1253.00000,368.00000,885.00000,,885.00000,,885.00000,2287.00000,1072.00000,5801.00000,5868.00000,0.15000,0.15000,INTC
2006-03-31,8940.00000,3997.00000,4943.00000,1562.00000,1644.00000,,7222.00000,1718.00000,156.00000,1874.00000,517.00000,1357.00000,,1357.00000,,1357.00000,2932.00000,1718.00000,5854.00000,5954.00000,0.23000,0.23000,INTC
2005-12-31,10201.00000,3901.00000,6300.00000,1362.00000,1606.00000,,6892.00000,3309.00000,153.00000,3462.00000,1009.00000,2453.00000,,2453.00000,,2453.00000,4417.00000,3309.00000,6106.00000,6178.00000,0.41000,0.40000,INTC
2005-09-30,9960.00000,4012.00000,5948.00000,1341.00000,1478.00000,,6860.00000,3100.00000,143.00000,3243.00000,1248.00000,1995.00000,,1995.00000,,1995.00000,4214.00000,3100.00000,6062.00000,6144.00000,0.33000,0.32000,INTC
2005-06-30,9231.00000,4028.00000,5203.00000,1176.00000,1342.00000,,6582.00000,2649.00000,105.00000,2754.00000,716.00000,2038.00000,,2038.00000,,2038.00000,3766.00000,2649.00000,6144.00000,6215.00000,0.33000,0.33000,INTC
2005-03-31,9434.00000,3836.00000,5598.00000,1266.00000,1262.00000,,6402.00000,3032.00000,119.00000,3151.00000,973.00000,2178.00000,,2178.00000,,2178.00000,4288.00000,3032.00000,6211.00000,6273.00000,0.35000,0.35000,INTC
